id,sentence,queryId,
WR-P-P-G0000002/WR-P-P-G-0000002165.p.2.s.3.xml,"Dit morele dilemma ( namelijk of zo'n film niet overal vertoond zou moeten kunnen worden ) valt nog net binnen de grens van Etty .",^q_4_stringzullenlemma,1
WR-P-P-G0000230/WR-P-P-G-0000111585.p.15.s.1.xml,"' Redelijk onkuis ' , en ' een oneerlijke vraag ' , vindt Josien Folbert de vraag van Janse aan Nederlandse imams of er in Mekka niet een kerk gebouwd zou moeten kunnen worden .",^q_4_stringzullenlemma,1
WR-P-P-G0000230/WR-P-P-G-0000111732.p.17.s.7.xml,"Vandaar dat er al langer een debat bezig is over de vraag of die souvereiniteit soms niet gebroken zou moeten kunnen worden door ' humanitaire interventies ' .",^q_4_stringzullenlemma,1
